adjustment_id,timestamp,sku_code,location_code,zone,qty_delta,adjustment_type,reason_code,user_ref,shift,system_qty_before,physical_qty_found,doc_ref,remarks,anomaly_pattern,date,hour,unit_cost,value_impact
09e1b0ff-b5bb-4285-82ef-e56490280b5c,2024-01-01 04:59:34,SKU-030,E-03-03,E,5,Returns,QTY_MISMATCH,USER-04,Night,306,311,ADJ-14963,,NORMAL,2024-01-01,4,10.77,53.85
728fe480-ffe9-4fd9-add9-2e579728301f,2024-01-01 06:33:32,SKU-024,E-03-03,E,-3,Unknown,OTHER,USER-07,Morning,148,145,ADJ-29968,,P3_USER07_ENDSHIFT,2024-01-01,6,5.46,-16.38
34612fab-d2ce-4dab-9a66-0105dcd14f41,2024-01-01 09:22:57,SKU-019,C-06-02,C,1,CycleCount,QTY_MISMATCH,USER-09,Morning,457,455,CC-9405,Normal count,P4_PRE_SPIKE_NORMAL,2024-01-01,9,9.0,9.0
337d17ef-e500-41f5-8d5c-5a38f9491ccc,2024-01-01 12:22:34,SKU-016,E-06-01,E,-1,Unknown,QTY_MISMATCH,USER-08,Morning,261,260,ADJ-72847,,NORMAL,2024-01-01,12,4.94,-4.94
34810919-84de-469d-b1a7-c8a88f99c2e2,2024-01-01 20:35:00,SKU-023,B-05-03,B,-1,CycleCount,QTY_MISMATCH,USER-05,Afternoon,429,428,ADJ-29536,,NORMAL,2024-01-01,20,6.98,-6.98
785fb9c7-af6f-4365-8c2d-1caf8adbebd3,2024-01-01 20:48:09,SKU-007,B-06-01,B,-8,CycleCount,QTY_MISMATCH,USER-08,Afternoon,208,200,CC-1324,Consistent shortfall — cause unknown,P1_CHRONIC_SHRINKAGE,2024-01-01,20,2.5,-20.0
44923f6e-591b-4207-8874-0792e2cea5f3,2024-01-01 21:50:48,SKU-008,D-02-03,D,-4,CycleCount,DAMAGED_GOODS,USER-03,Afternoon,441,437,ADJ-90541,Receiving discrepancy,NORMAL,2024-01-01,21,11.42,-45.68
e3b24a00-fdb8-4f21-8ecb-5d68b8d9b14c,2024-01-02 00:20:32,SKU-002,E-04-02,E,4,Damage,DAMAGED_GOODS,USER-05,Night,71,75,ADJ-16621,Receiving discrepancy,NORMAL,2024-01-02,0,12.67,50.68
e6840785-edb8-44a6-9414-d192660a2dcd,2024-01-02 00:20:42,SKU-026,C-03-01,C,-3,Returns,QTY_MISMATCH,USER-03,Night,200,197,ADJ-70117,Zone C location discrepancy,P2_ZONE_C_VOLATILE,2024-01-02,0,6.64,-19.92
c311705a-8ba2-47cf-9b0a-231bf4b156ad,2024-01-02 01:57:59,SKU-026,E-05-02,E,-2,Damage,RECEIVING_DISCREPANCY,USER-04,Night,217,215,ADJ-10665,Receiving discrepancy,NORMAL,2024-01-02,1,6.64,-13.28
7ddb4950-082d-4797-9ce3-9b86b78d33b6,2024-01-02 03:39:44,SKU-015,B-03-03,B,-1,Unknown,SYSTEM_ERROR,USER-03,Night,290,289,ADJ-20527,Damaged goods removed,NORMAL,2024-01-02,3,2.69,-2.69
c6c26cbb-f07e-4478-82e5-be0900885008,2024-01-02 03:47:49,SKU-018,C-02-02,C,1,Returns,DAMAGED_GOODS,USER-05,Night,122,123,ADJ-37529,Zone C location discrepancy,P2_ZONE_C_VOLATILE,2024-01-02,3,3.87,3.87
708f8ed0-bb6a-4417-a3c9-870da3bd3a04,2024-01-02 10:58:52,SKU-005,B-01-03,B,2,CycleCount,QTY_MISMATCH,USER-04,Morning,240,242,ADJ-18450,Putaway error corrected,NORMAL,2024-01-02,10,10.0,20.0
44ca796a-6914-4643-a614-791211f7acc2,2024-01-02 15:42:52,SKU-001,D-03-02,D,-2,Returns,SYSTEM_ERROR,USER-08,Afternoon,284,282,ADJ-91777,Damaged goods removed,NORMAL,2024-01-02,15,11.75,-23.5
a7ac1f3c-5b3f-4a66-95fb-993a68011c5b,2024-01-02 17:47:34,SKU-011,A-04-02,A,3,Damage,DAMAGED_GOODS,USER-09,Afternoon,61,64,ADJ-81620,,NORMAL,2024-01-02,17,2.27,6.81
75827bd4-545f-4825-b965-ac07e2de3f0f,2024-01-02 19:36:25,SKU-001,C-03-02,C,-3,Damage,DAMAGED_GOODS,USER-01,Afternoon,155,152,DMG-5493,Beverage damage — small qty high value,P5_HIGH_VALUE_LOSS,2024-01-02,19,11.75,-35.25
f49bca9f-0b2a-47ae-9fa1-8c54afc3b8ae,2024-01-02 21:44:22,SKU-025,B-03-01,B,3,Unknown,OTHER,USER-08,Afternoon,379,382,ADJ-35859,Damaged goods removed,NORMAL,2024-01-02,21,2.27,6.81
2966b974-c59f-4b17-b1c6-9030fb283b90,2024-01-02 21:56:08,SKU-012,A-06-03,A,3,Unknown,PUTAWAY_ERROR,USER-05,Afternoon,378,381,ADJ-35272,Qty mismatch after cycle count,NORMAL,2024-01-02,21,2.47,7.41
dc263c32-b0d7-4a28-bf4f-d695b2115888,2024-01-02 22:16:55,SKU-017,D-02-03,D,3,Unknown,QTY_MISMATCH,USER-09,Night,224,227,ADJ-18564,Receiving discrepancy,NORMAL,2024-01-02,22,3.92,11.76
5850b4fb-1cc2-4db6-a2c0-15f20405d634,2024-01-02 22:27:30,SKU-008,C-01-02,C,1,Returns,PUTAWAY_ERROR,USER-08,Night,139,140,ADJ-20828,Zone C location discrepancy,P2_ZONE_C_VOLATILE,2024-01-02,22,11.42,11.42
fc810b47-c923-4fba-aac2-26fb72c46a70,2024-01-02 23:46:46,SKU-004,A-06-02,A,-1,CycleCount,PUTAWAY_ERROR,USER-09,Night,96,95,ADJ-94454,Putaway error corrected,NORMAL,2024-01-02,23,12.09,-12.09
841944c5-091b-454c-b810-c1bbe26edd34,2024-01-02 23:47:35,SKU-024,D-02-01,D,-1,Damage,PUTAWAY_ERROR,USER-02,Night,185,184,ADJ-46930,,NORMAL,2024-01-02,23,5.46,-5.46
24cd7915-9398-43b2-adf5-afe365816fb7,2024-01-03 00:04:42,SKU-006,A-05-01,A,-1,CycleCount,SYSTEM_ERROR,USER-05,Night,323,322,ADJ-45815,Putaway error corrected,NORMAL,2024-01-03,0,10.0,-10.0
e6ae73b4-c1cc-47e8-be24-629e99097f68,2024-01-03 02:08:06,SKU-023,A-04-03,A,-2,Unknown,RECEIVING_DISCREPANCY,USER-04,Night,405,403,ADJ-87158,Damaged goods removed,NORMAL,2024-01-03,2,6.98,-13.96
5debadf6-8958-4497-9d34-278733d23f68,2024-01-03 06:14:05,SKU-011,A-05-03,A,-1,Damage,QTY_MISMATCH,USER-05,Morning,416,415,ADJ-74694,Putaway error corrected,NORMAL,2024-01-03,6,2.27,-2.27
7172d912-69ec-42a1-b91c-463d2b14c1a4,2024-01-03 07:46:03,SKU-009,D-06-02,D,5,Returns,PUTAWAY_ERROR,USER-05,Morning,266,271,ADJ-92180,,NORMAL,2024-01-03,7,2.2,11.0
302e7d24-d67d-4f42-866f-75503c2c3408,2024-01-03 08:56:41,SKU-016,B-03-01,B,-1,Returns,DAMAGED_GOODS,USER-09,Morning,269,268,ADJ-45916,Qty mismatch after cycle count,NORMAL,2024-01-03,8,4.94,-4.94
